,Cause,Effect,Score
0,perception complexity,prediction error,0.5734171807668523
1,perception complexity,ignore decision,0.9724884904346064
2,perception complexity,follow decision,0.4766171429192683
3,perception complexity,overtake decision,0.9404048098631983
4,perception complexity,accident,0.9620688071911099
5,prediction error,non-caution predictor,0.9020816343143545
6,prediction error,ignore decision,0.9215810742363041
7,prediction error,follow decision,0.10673284352742385
8,prediction error,overtake decision,0.8409744384002951
9,prediction error,execution error,0.03378206155249509
10,follow decision,overtake decision,0.7461068462377022
11,overtake decision,ignore decision,0.28862438108624533
12,accident,non-caution predictor,0.1009624212679651
13,ignore priority,prediction error,0.23197792549048057
14,ignore priority,overtake decision,0.9024338977459987
15,ignore priority,accident,0.9251713509716771
16,execution error,ignore decision,0.904596573579698
17,execution error,non-caution predictor,0.8930762064510313
18,yield decision,follow decision,0.32877938243206956
19,yield decision,overtake decision,0.8951944549003769
20,yield decision,non-caution predictor,0.9189458415697284
21,yield decision,execution error,0.1962271145471225
22,planning error,accident,0.9851974332849069
23,planning error,ignore priority,0.6082576280247485
24,planning error,non-caution predictor,0.9881607374877516
25,planning error,execution error,0.75640162522854
