 ,Area,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,533.604,0,255,255,233.733,0.123,1.361,0.735,0.630
2,831.795,0,255,255,231.771,0.195,1.092,0.916,0.740
3,805.945,0,255,255,228.161,0.195,1.005,0.995,0.736
4,679.468,0,255,255,202.014,0.209,1.223,0.817,0.715
5,680.391,0,255,255,269.625,0.118,1.170,0.855,0.656
6,841.950,0,255,255,167.151,0.379,1.102,0.907,0.816
7,798.560,0,255,255,196.812,0.259,1.188,0.842,0.771
8,756.093,0,255,255,233.829,0.174,1.016,0.984,0.707
9,647.157,0,255,255,348.589,0.067,1.072,0.933,0.550
10,800.406,0,255,255,208.478,0.231,1.082,0.924,0.764
11,309.269,0,255,255,123.009,0.257,2.331,0.429,0.747
12,846.566,0,255,255,214.340,0.232,1.090,0.917,0.760
13,678.545,0,255,255,317.337,0.085,1.166,0.858,0.615
14,869.645,0,255,255,263.820,0.157,1.024,0.976,0.759
15,727.474,0,255,255,264.519,0.131,1.081,0.925,0.714
16,1640.510,0,255,255,407.445,0.124,2.679,0.373,0.647
17,1641.433,0,255,255,414.665,0.120,2.427,0.412,0.644
18,937.962,0,255,255,265.878,0.167,1.186,0.843,0.722
19,809.638,0,255,255,214.710,0.221,1.046,0.956,0.759
20,733.936,0,255,255,221.037,0.189,1.215,0.823,0.692
21,706.241,0,255,255,259.977,0.131,1.108,0.903,0.682
22,753.323,0,255,255,261.802,0.138,1.026,0.974,0.705
23,845.643,0,255,255,287.113,0.129,1.139,0.878,0.633
24,759.786,0,255,255,317.473,0.095,1.031,0.970,0.684
25,711.780,0,255,255,289.501,0.107,1.058,0.945,0.673
26,757.016,0,255,255,288.705,0.114,1.038,0.963,0.687
27,911.189,0,255,255,220.708,0.235,1.045,0.957,0.795
28,894.572,0,255,255,223.522,0.225,1.070,0.934,0.764
29,751.477,0,255,255,226.103,0.185,1.076,0.929,0.725
30,817.947,0,255,255,215.835,0.221,1.096,0.912,0.755
31,822.563,0,255,255,201.588,0.254,1.051,0.951,0.756
32,697.932,0,255,255,273.002,0.118,1.097,0.912,0.685
33,689.623,0,255,255,173.712,0.287,1.212,0.825,0.789
34,882.570,0,255,255,275.583,0.146,1.085,0.922,0.725
35,855.798,0,255,255,224.318,0.214,1.026,0.975,0.715
36,951.809,0,255,255,248.077,0.194,1.037,0.964,0.751
37,894.572,0,255,255,193.764,0.299,1.134,0.882,0.809
38,796.713,0,255,255,290.900,0.118,1.122,0.891,0.680
39,870.569,0,255,255,246.155,0.181,1.069,0.935,0.746
40,819.793,0,255,255,215.272,0.222,1.081,0.925,0.720
41,877.954,0,255,255,209.041,0.252,1.107,0.903,0.783
42,912.112,0,255,255,202.014,0.281,1.032,0.969,0.805
43,842.873,0,255,255,209.274,0.242,1.060,0.943,0.779
44,857.644,0,255,255,258.618,0.161,1.084,0.923,0.705
45,956.425,0,255,255,228.394,0.230,1.060,0.943,0.703
46,958.272,0,255,255,226.473,0.235,1.105,0.905,0.764
47,826.256,0,255,255,197.608,0.266,1.062,0.941,0.753
48,881.647,0,255,255,243.438,0.187,1.100,0.909,0.720
49,921.344,0,255,255,259.510,0.172,1.010,0.990,0.703
50,1025.665,0,255,255,284.998,0.159,1.076,0.930,0.703
51,901.034,0,255,255,246.855,0.186,1.117,0.895,0.741
52,849.335,0,255,255,229.383,0.203,1.080,0.926,0.765
53,883.493,0,255,255,212.651,0.246,1.125,0.889,0.777
54,839.180,0,255,255,217.194,0.224,1.061,0.943,0.757
55,2242.430,0,255,255,685.416,0.060,1.630,0.614,0.555
56,877.031,0,255,255,217.757,0.232,1.060,0.943,0.769
57,913.959,0,255,255,256.463,0.175,1.082,0.924,0.717
58,720.089,0,255,255,170.761,0.310,1.412,0.708,0.847
59,889.032,0,255,255,256.560,0.170,1.056,0.947,0.750
60,865.953,0,255,255,179.147,0.339,1.016,0.984,0.770
61,146.787,0,255,255,149.719,0.082,1.562,0.640,0.339
62,924.114,0,255,255,276.379,0.152,1.080,0.926,0.755
63,945.347,0,255,255,214.573,0.258,1.188,0.842,0.807
64,930.576,0,255,255,207.546,0.271,1.065,0.939,0.729
65,911.189,0,255,255,210.633,0.258,1.098,0.911,0.808
66,916.728,0,255,255,189.125,0.322,1.073,0.932,0.799
67,2222.120,0,255,255,653.600,0.065,3.707,0.270,0.528
68,863.183,0,255,255,223.755,0.217,1.070,0.934,0.763
69,2016.248,0,255,255,482.140,0.109,2.533,0.395,0.627
70,1012.740,0,255,255,291.189,0.150,1.241,0.806,0.694
71,961.965,0,255,255,289.268,0.144,1.080,0.926,0.661
72,991.507,0,255,255,191.280,0.341,1.039,0.962,0.815
73,892.725,0,255,255,209.507,0.256,1.049,0.954,0.775
74,951.809,0,255,255,233.034,0.220,1.094,0.914,0.771
75,920.421,0,255,255,189.921,0.321,1.028,0.973,0.821
76,179.099,0,255,255,72.074,0.433,2.084,0.480,0.767
77,974.889,0,255,255,215.835,0.263,1.100,0.909,0.775
78,1057.976,0,255,255,280.456,0.169,1.195,0.837,0.791
79,2149.188,0,255,255,542.257,0.092,1.897,0.527,0.661
80,374.815,0,255,255,351.307,0.038,1.358,0.736,0.328
81,145.864,0,255,255,61.107,0.491,1.582,0.632,0.754
82,964.734,0,255,255,188.096,0.343,1.062,0.942,0.790
